id,name
718,"Central University of Kashmir, Srinagar"
719,"Central University of Kerala, Kasaragod"
720,"Central University of Odisha, Koraput"
721,"Central University of Punjab, Bathinda"
722,"Central University of Rajasthan, Ajmer"
757,"Chaudhary Charan Singh Haryana Agricultural University, Hisar"
761,"Central Institute of Fisheries Education, Mumbai"
764,"Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya, Palampur"
773,"Chennai Mathematical Institute, Chennai"
775,"Central Sanskrit University, New Delhi"
799,"Chanakya National Law University, Patna"
804,"Calcutta Business School, Bishnupur"
812,"Cochin University of Science and Technology, Kochi"
823,"CSI Institute of Legal Studies, Cheruvarakonam"
824,"Co-Operative School of Law, Thodupuzha"
868,"CT Institute of Hotel Management and Catering Technology, Jalandhar"
878,"University of Calcutta, Kolkata"
890,"Chaudhary Charan Singh University, Meerut"
917,"Chaudhary Devi Lal University, Sirsa"
16,"Dr MGR Educational and Research Institute, Chennai"
40,"Dr BR Ambedkar Institute of Technology, Karaikal"
66,"Dr CV Raman University, Bilaspur"
79,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar"
91,"Deen Bandhu Chhotu Ram University of Science and Technology, Murthal"
97,"Delhi Technological University, Delhi"
147,Dr B R Ambedkar National Institute of Technology Jalandhar
238,"Dr Y S Rajasekhar Reddy Institute of Engineering and Technology, Cuddapah"
239,"Dr Jaganath Mishra Institute of Technology, Darbhanga"
240,"Dr Babasaheb Ambedkar Technological University, Lonere"
241,"Don Bosco Institute of Technology and Science, Guntur"
242,"Dibrugarh University, Dibrugarh"
265,"Dr KN Modi University, Tonk"
267,"Dr Ram Manohar Lohia Avadh University, Faizabad"
279,"DIT University, Dehradun"
302,"Dr YSR Institute of Engineering and Technology, Cuddapah"
310,"Dr Babasaheb Ambedkar Marathwada University, Aurangabad"
311,"Doon College of Engineering and Technology, Dehradun"
387,"Dhruva College of Management, Hyderabad"
411,"Dayanand Sagar College of Management and Information Technology, Bangalore"
431,"DSMS Business school, Durgapur"
467,"Dronacharya Institute of Management and Technology, Kurukshetra"
508,"DIT School of Business, Greater Noida"
531,"Dr IT School of Business, Phagwara"
546,"Dr Gaur Hari Singhania Institute of Management and Research, Kanpur"
569,"Directorate of Distance Education, Maharshi Dayanand University, Rohtak"
616,Jawaharlal Institute of Postgraduate Medical Education and Research Puducherry
627,"Dr Ram Manohar Lohiya National Law University, Lucknow"
654,"Desh Bhagat University, Mandi Gobindgarh"
668,"Deen Dayal Upadhyaya Institute of Management and Higher Studies, Kanpur"
730,"Dayalbagh Educational Institute, Agra"
739,"Dharmsinh Desai University, Nadiad"
749,"Dr DY Patil University, Navi Mumbai"
752,"Datta Meghe Institute of Higher Education and Research, Wardha"
753,"DY Patil Education Society, Kolhapur"
768,"Dr Yashwant Singh Parmar University of Horticulture and Forestry, Nauni"
787,"Doon University, Dehradun"
810,"Damodaram Sanjivayya National Law University, Visakhapatnam"
853,"Dr Ambedkar Institue of Hotel Management Catering and Nutrition, Chandigarh"
859,"Dr YSR National Institute of Tourism and Hospitality Management, Hyderabad"
