College_Name,State,Stream,Degree,Fee,cluster
Indira Gandhi Delhi Technical University For Women ,9,3,1,-0.10371981133038918,0
Manav Rachna International Institute Of Research And ,9,3,1,0.24512073029125114,0
Sharda University ,9,3,1,0.17897160940406737,0
Galgotias University ,9,3,1,0.16117514540903824,0
Netaji Subhas University of Technology ,9,3,1,0.27683350680230934,0
Shiv Nadar University ,9,3,1,0.3141426556388484,0
Manav Rachna International Institute of Research and ,9,3,1,0.24512073029125114,0
National Institute of Technology ,9,3,1,-0.07064151997191365,0
"Gurugram University, Gurgaon ",9,3,1,-0.2828037257457767,0
Chhotu Ram Rural Institute Of Technology ,9,3,1,-0.3072412182337098,0
SunRise University ,9,3,1,-0.16266826649212093,0
"Monad University, Hapur ",9,3,1,0.13132782633980697,0
"Amity University, Gurgaon ",9,3,1,0.42607010214846563,0
"Shobhit University, Meerut ",9,3,1,-0.017162586029618537,0
Indraprastha Institute of Technology and Management ,9,3,1,0.03432403936480538,0
Maharaja Agrasen Institute of Technology ,9,3,1,0.1022266902473065,0
Maharaja Surajmal Institute of Technology ,9,3,1,0.07275246266644063,0
Noida Institute of Engineering and Technology ,9,3,1,1.858741417471566,0
K L University ,1,3,1,0.5006883998215438,0
"Andhra University, College of Engineering ",1,3,1,-0.39473117225539395,0
"Sri Venkateswara University College of Engineering, Tirupati ",1,3,1,-0.3708719715744272,0
"Vignan’s Foundation for Science, Technology, and Research, ",1,3,1,0.5006883998215438,0
"JNTUK University College of Engineering, Kakinada, East ",1,3,1,-0.39473117225539395,0
Sree Vidyanikethan Engineering College ,1,3,1,0.6126158463311611,0
G. Pulla Reddy Engineering College ,1,3,1,-0.13356713039962045,0
Sri Venkateswara College of Engineering and Technology ,1,3,1,-0.09868307623745641,0
Velagapudi Ramakrishna Siddhartha Engineering College ,1,3,1,-0.16695881860832293,0
Shri Vishnu Engineering College for Women ,1,3,1,-0.07760340714481183,0
"JNTUA College of Engineering, Ananthapur ",1,3,1,-0.33876744900058536,0
Sagi Ramakrishnam Raju Engineering College ,1,3,1,-0.3201128745823158,0
Gayatri Vidya Parishad College of Engineering ,1,3,1,0.5976921867965453,0
Jawaharlal Nehru Technological University ,1,3,1,-0.0589488327265423,0
Indian Institute of Technology ,1,3,1,-0.3688013138139993,0
Prasad V. Potluri Siddhartha Institute of Technology ,1,3,1,0.6126158463311611,0
Centurion University of Technology and Management ,1,3,1,0.03432403936480538,0
Aditya Engineering College ,1,3,1,-0.1634144494688517,0
Bapatla Engineering College ,1,3,1,-0.15222170481789,0
Gudlavalleru Engineering College ,1,3,1,-0.1275976665857742,0
Sri Venkateswara College of Engineering ,1,3,1,-0.13356713039962045,0
Sri Vasavi Engineering College ,1,3,1,0.27310259191865544,0
Indian Institute of Information Technology Sri City ,1,3,1,-0.04775608807558058,0
National Institute of Technology ,1,3,1,0.2675062195931746,0
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",1,3,1,-0.2865346406294306,0
Raghu Engineering College ,1,3,1,-0.1149125559813509,0
Indian Institute of Information Technology Design and ,1,3,1,0.10744997108442196,0
Rajeev Gandhi Memorial College of Engineering and ,1,3,1,-0.17423410263144803,0
VIT University ,1,3,1,0.3066808258715406,0
National Institute of Technology ,16,3,1,0.13778230908852823,2
Manipal Institute of Technology ,16,3,1,0.8178161649321259,2
R V College of Engineering ,16,3,1,0.8737798881869345,2
Ramaiah Institute of Technology ,16,3,1,-0.11033845433399121,2
International Institute of Information Technology ,16,3,1,0.17982971982730778,2
BMS College of Engineering ,16,3,1,0.42274958790201367,2
Siddaganga Institute of Technology ,16,3,1,-0.13552586071353875,2
New Horizon College of Engineering ,16,3,1,0.5006883998215438,2
"Faculty of Engineering and Technology, Jain University ",16,3,1,0.3048153684297137,2
Sri Jayachamarajendra College of Engineering ,16,3,1,1.3401442486436728,2
Dayananda Sagar College of Engineering ,16,3,1,-0.07347701528349061,2
NMAM Institute of Technology ,16,3,1,0.17609880494365387,2
Nitte Meenakshi Institute of Technology ,16,3,1,-0.21264014044378135,2
PES University ,16,3,1,0.8364707393503955,2
BMS Institute of Technology and Management ,16,3,1,0.8737798881869345,2
"KLE Technological University, Hubli ",16,3,1,-0.37607659783712444,2
Dr. Ambedkar Institute of Technology ,16,3,1,-0.319366691605585,2
PES College of Engineering ,16,3,1,-0.14550605802731295,2
CMR Institute of Technology ,16,3,1,0.5006883998215438,2
The National Institute of Engineering ,16,3,1,-0.26754428387163226,2
"Alliance College of Engineering and Design, Bangalore ",16,3,1,0.4074155277301961,2
Basaveshwar Engineering College ,16,3,1,-0.18826234259398672,2
"Christ University, Bangalore ",16,3,1,0.20221520912923122,2
Manipal Academy of Higher Education ,16,3,1,0.8178161649321259,2
Indian Institute of Science ,16,3,1,-0.3230976064892389,2
"REVA University, Bangalore ",16,3,1,0.4074155277301961,2
"Alliance University, Bangalore ",16,3,1,1.8997814811917588,2
"Presidency University, Bangalore ",16,3,1,0.3514518044753875,2
Indian Institute of Technology ,30,3,1,0.39993504338847,1
National Institute of Technology ,30,3,1,0.05297861378307492,1
International Institute of Information Technology ,30,3,1,0.6872341440042392,1
Jawaharlal Nehru Technological University ,30,3,1,-0.38540388504625916,1
"University College of Engineering, Osmania University ",30,3,1,-0.328432814772864,1
Chaitanya Bharathi Institute of Technology ,30,3,1,0.06790227331769055,1
Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,30,3,1,0.05670952866672883,1
"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",30,3,1,0.021825474504564794,1
Institute of Aeronautical Engineering ,30,3,1,-0.09625798156308137,1
BV Raju Institute of Technology ,30,3,1,0.015669464946535847,1
Vardhaman College of Engineering ,30,3,1,0.03432403936480538,1
"Anurag University, Hyderabad ",30,3,1,0.0734986456431714,1
Vasavi College of Engineering ,30,3,1,0.05297861378307492,1
Gokaraju Rangaraju Institute of Engineering and Technology ,30,3,1,0.02313129471384366,1
Kakatiya Institute of Technology & Science ,30,3,1,0.03790571765311314,1
K L University ,30,3,1,0.5566521230763524,1
Birla Institute of Technology and Science ,30,3,1,1.1479088592634052,1
Mahatma Gandhi Institute of Technology ,30,3,1,-0.02910151365731104,1
Malla Reddy Engineering College ,30,3,1,-0.04775608807558058,1
Malla Reddy College of Engineering ,30,3,1,-0.1634144494688517,1
Sreenidhi Institute of Science and Technology ,30,3,1,1.5080354184080986,1
"Mahindra University, Hyderabad ",30,3,1,1.3214896742254032,1
"St Martin's Engineering College, Secunderabad ",30,3,1,-0.13356713039962045,1
MLR Institute of Technology ,30,3,1,-0.07387249226115793,1
Keshav Memorial Institute of Technology ,30,3,1,-0.016043311564522364,1
Vaagdevi College of Engineering ,30,3,1,-0.111181641097697,1
CMR Engineering College ,30,3,1,-0.15222170481789,1
"Matrusri Engineering College, Hyderabad ",30,3,1,-0.09625798156308137,1
Indian Institute of Technology ,18,3,1,0.42121991279971555,2
Maulana Azad National Institute of Technology ,18,3,1,-0.18975843946233195,2
Indian Institute of Information Technology Design and ,18,3,1,0.08125894860117154,2
Atal Bihari Vajpayee Indian Institute of Information ,18,3,1,-0.15196054077603421,2
"VIT Bhopal University, Bhopal ",18,3,1,0.3066808258715406,2
"RKDF University, Bhopal ",18,3,1,-0.22684000249096814,2
Awadhesh Pratap Singh University ,18,3,1,-0.2828037257457767,2
"University Institute of Technology, Rajiv Gandhi Proudyogiki ",18,3,1,-0.3427968370749316,2
Institute of Information Technology & Management ,18,3,1,-0.14475987505058216,2
"Institute of Engineering and Technology, Devi Ahilya ",18,3,1,-0.12251989142912123,2
Acropolis Institute of Technology & Research ,18,3,1,-0.1518486133295246,2
"Indian Institute of Information Technology -[IIIT], Bhopal ",18,3,1,0.23765890052394334,2
Jaypee University of Engineering and Technology ,18,3,1,0.2749680493604824,2
Oriental University ,18,3,1,-0.18953085365442907,2
"Amity University, Gwalior ",18,3,1,0.17982971982730778,2
AKS University ,18,3,1,-0.2081854280726986,2
Jagran Lakecity University ,18,3,1,-0.002985109471733689,2
Jabalpur Engineering College ,18,3,1,-0.3488409191864509,2
"Swami Vivekanand University, Sagar ",18,3,1,-0.2678800662111611,2
"Acropolis Group of Institutions, Indore ",18,3,1,-0.15744498565500545,2
LNCT University ,18,3,1,-0.13356713039962045,2
"Avantika University, Ujjain ",18,3,1,0.39808824052106134,2
Ujjain Engineering College ,18,3,1,-0.347158276573923,2
Shri Govindram Seksaria Institute of Technology and ,18,3,1,-0.15016970163188034,2
Lakshmi Narain College of Technology ,18,3,1,-0.25071785774635313,2
National Institute of Technology ,17,3,1,-0.23132829309600378,2
Indian Institute of Space Science and Technology ,17,3,1,0.09924195834038337,2
"College of Engineering, Trivandrum ",17,3,1,0.3141426556388484,2
"Cochin University of Science and Technology, School ",17,3,1,-0.11103240450235084,2
Baselios Thomas I Catholicose College of Engineering ,17,3,1,-0.1149125559813509,2
Cochin University of Science and Technology ,17,3,1,-0.25817968751366094,2
Indian Institute of Technology ,17,3,1,-0.2982870225129404,2
APJ Abdul Kalam Technological University ,17,3,1,-0.3238437894659697,2
Federal Institute of Science and Technology ,17,3,1,-0.1518486133295246,2
"Indian Institute of Information Technology [IIIT], Kottayam ",17,3,1,0.3102251950110118,2
Government Engineering College ,17,3,1,-0.349400556418999,2
National Institute of Electronics & Information Technology ,17,3,1,-0.2081854280726986,2
TKM College of Engineering ,17,3,1,-0.4006633269204037,2
Amal Jyothi College of Engineering ,17,3,1,-0.0589488327265423,2
Hindustan College of Engineering ,17,3,1,-0.24549457690923768,2
Marian Engineering College ,17,3,1,-0.07368594651697523,2
"Saintgits College of Engineering, Kottayam ",17,3,1,-0.15222170481789,2
Rajiv Gandhi Institute of Technology ,17,3,1,-0.34996019365154707,2
Mangalam College of Engineering Ettumanoor ,17,3,1,-0.15222170481789,2
NSS College of Engineering ,17,3,1,-0.3994358559236815,2
Sree Chitra Thirunal College of Engineering ,17,3,1,-0.19823134716310997,2
"Thejus Engineering College, Thrissur ",17,3,1,-0.10222744537692763,2
Mar Athanasius College of Engineering ,17,3,1,-0.40135354617387964,2
St. Thomas College of Engineering and Technology- ,17,3,1,-0.2150876206074583,2
"College of Engineering Thalassery, Kannur ",17,3,1,-0.2893328267921711,2
"KMCT College of Engineering, Kozhikode ",17,3,1,-0.15222170481789,2
"MEA Engineering College- [MEAEC], Malappuram ",17,3,1,-0.15222170481789,2
Rajagiri School of Engineering & Technology ,17,3,1,-0.1074507262140431,2
Sahrdaya College of Engineering ,17,3,1,-0.3014583001640463,2
"Trinity College of Engineering, Trivendrum ",17,3,1,-0.15222170481789,2
Birla Institute of Technology and Science ,27,3,1,1.2299889867037912,1
Indian Institute of Technology ,27,3,1,-0.16926079309153738,1
Malaviya National Institute of Technology ,27,3,1,-0.08009192737220899,1
