College_Name,State,Stream,Degree,Fee,cluster
Indira Gandhi Delhi Technical University For Women ,9,3,1,-0.10391732689672739,30
Manav Rachna International Institute Of Research And ,9,3,1,0.2445735306378794,30
Sharda University ,9,3,1,0.1784907188294454,30
Galgotias University ,9,3,1,0.16071209433276012,30
Netaji Subhas University of Technology ,9,3,1,0.27625451768648,30
Shiv Nadar University ,9,3,1,0.3135262671554219,30
Manav Rachna International Institute of Research and ,9,3,1,0.2445735306378794,30
National Institute of Technology ,9,3,1,-0.0708721938175635,30
"Gurugram University, Gurgaon ",9,3,1,-0.2828217243476485,30
Chhotu Ram Rural Institute Of Technology ,9,3,1,-0.30723472024980547,30
SunRise University ,9,3,1,-0.1628066910576556,30
"Monad University, Hapur ",9,3,1,0.1308946947576066,30
"Amity University, Gurgaon ",9,3,1,0.42534151556224764,30
"Shobhit University, Meerut ",9,3,1,-0.017446868128782177,30
Indraprastha Institute of Technology and Management ,9,3,1,0.03398814613835765,30
Maharaja Agrasen Institute of Technology ,9,3,1,0.10182273017183191,30
Maharaja Surajmal Institute of Technology ,9,3,1,0.0723780480913678,30
Noida Institute of Engineering and Technology ,9,3,1,1.8565766951696165,30
K L University ,1,3,1,0.49988501450013134,59
"Andhra University, College of Engineering ",1,3,1,-0.39463697275447424,59
"Sri Venkateswara University College of Engineering, Tirupati ",1,3,1,-0.3708016889690859,59
"Vignan’s Foundation for Science, Technology, and Research, ",1,3,1,0.49988501450013134,59
"JNTUK University College of Engineering, Kakinada, East ",1,3,1,-0.39463697275447424,59
Sree Vidyanikethan Engineering College ,1,3,1,0.6117002629069571,59
G. Pulla Reddy Engineering College ,1,3,1,-0.13373472647188092,59
Sri Venkateswara College of Engineering and Technology ,1,3,1,-0.09888564071842024,59
Velagapudi Ramakrishna Siddhartha Engineering College ,1,3,1,-0.16709294224658391,59
Shri Vishnu Engineering College for Women ,1,3,1,-0.07782710226846806,59
"JNTUA College of Engineering, Ananthapur ",1,3,1,-0.33872934855106135,59
Sagi Ramakrishnam Raju Engineering College ,1,3,1,-0.3200934738165904,59
Gayatri Vidya Parishad College of Engineering ,1,3,1,0.5967915631193803,59
Jawaharlal Nehru Technological University ,1,3,1,-0.05919122753399711,59
Indian Institute of Technology ,1,3,1,-0.3687331068735596,59
Prasad V. Potluri Siddhartha Institute of Technology ,1,3,1,0.6117002629069571,59
Centurion University of Technology and Management ,1,3,1,0.03398814613835765,59
Aditya Engineering College ,1,3,1,-0.16355212604703442,59
Bapatla Engineering College ,1,3,1,-0.15237060120635187,59
Gudlavalleru Engineering College ,1,3,1,-0.1277712465568502,59
Sri Venkateswara College of Engineering ,1,3,1,-0.13373472647188092,59
Sri Vasavi Engineering College ,1,3,1,0.27252734273958584,59
Indian Institute of Information Technology Sri City ,1,3,1,-0.04800970269331454,59
National Institute of Technology ,1,3,1,0.26693658031924455,59
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",1,3,1,-0.2865488992945427,59
Raghu Engineering College ,1,3,1,-0.11509885173740995,59
Indian Institute of Information Technology Design and ,1,3,1,0.10704077509748378,59
Rajeev Gandhi Memorial College of Engineering and ,1,3,1,-0.17436093339302758,59
VIT University ,1,3,1,0.3060719172616335,59
National Institute of Technology ,16,3,1,0.13734270741573354,129
Manipal Institute of Technology ,16,3,1,0.8166948849861375,129
R V College of Engineering ,16,3,1,0.8726025091895504,129
Ramaiah Institute of Technology ,16,3,1,-0.11052933525251768,129
International Institute of Information Technology ,16,3,1,0.17934796906723108,129
BMS College of Engineering ,16,3,1,0.42202432985951177,129
Siddaganga Institute of Technology ,16,3,1,-0.13569149331900035,129
New Horizon College of Engineering ,16,3,1,0.49988501450013134,129
"Faculty of Engineering and Technology, Jain University ",16,3,1,0.30420832978818646,129
Sri Jayachamarajendra College of Engineering ,16,3,1,1.338499377551324,129
Dayananda Sagar College of Engineering ,16,3,1,-0.07370484677720308,129
NMAM Institute of Technology ,16,3,1,0.17562079412033688,129
Nitte Meenakshi Institute of Technology ,16,3,1,-0.21272847229635639,129
PES University ,16,3,1,0.8353307597206084,129
BMS Institute of Technology and Management ,16,3,1,0.8726025091895504,129
"KLE Technological University, Hubli ",16,3,1,-0.37600109802000325,129
Dr. Ambedkar Institute of Technology ,16,3,1,-0.3193480388272116,129
PES College of Engineering ,16,3,1,-0.14566168630194232,129
CMR Institute of Technology ,16,3,1,0.49988501450013134,129
The National Institute of Engineering ,16,3,1,-0.2675775788148513,129
"Alliance College of Engineering and Design, Bangalore ",16,3,1,0.40670564082777666,129
Basaveshwar Engineering College ,16,3,1,-0.18837511119334974,129
"Christ University, Bangalore ",16,3,1,0.2017110187485962,129
Manipal Academy of Higher Education ,16,3,1,0.8166948849861375,129
Indian Institute of Science ,16,3,1,-0.32307521377410575,129
"REVA University, Bangalore ",16,3,1,0.40670564082777666,129
"Alliance University, Bangalore ",16,3,1,1.8975756195854527,129
"Presidency University, Bangalore ",16,3,1,0.35079801662436383,129
Indian Institute of Technology ,30,3,1,0.3992326550592538,51
National Institute of Technology ,30,3,1,0.0526240208728286,51
International Institute of Information Technology ,30,3,1,0.6862437618448409,51
Jawaharlal Nehru Technological University ,30,3,1,-0.3853190353872388,51
"University College of Engineering, Osmania University ",30,3,1,-0.3284050739481645,51
Chaitanya Bharathi Institute of Technology ,30,3,1,0.06753272066040536,51
Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,30,3,1,0.05635119581972279,51
"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",30,3,1,0.021502110066262112,51
Institute of Aeronautical Engineering ,30,3,1,-0.09646297700293902,51
BV Raju Institute of Technology ,30,3,1,0.015352271403886696,51
Vardhaman College of Engineering ,30,3,1,0.03398814613835765,51
"Anurag University, Hyderabad ",30,3,1,0.07312348308074665,51
Vasavi College of Engineering ,30,3,1,0.0526240208728286,51
Gokaraju Rangaraju Institute of Engineering and Technology ,30,3,1,0.022806621297675078,51
Kakatiya Institute of Technology & Science ,30,3,1,0.03756623408737607,51
K L University ,30,3,1,0.5557926387035442,51
Birla Institute of Technology and Science ,30,3,1,1.146456688412601,51
Mahatma Gandhi Institute of Technology ,30,3,1,-0.029373827958843586,51
Malla Reddy Engineering College ,30,3,1,-0.04800970269331454,51
Malla Reddy College of Engineering ,30,3,1,-0.16355212604703442,51
Sreenidhi Institute of Science and Technology ,30,3,1,1.5062222501615627,51
"Mahindra University, Hyderabad ",30,3,1,1.3198635028168533,51
"St Martin's Engineering College, Secunderabad ",30,3,1,-0.13373472647188092,51
MLR Institute of Technology ,30,3,1,-0.07409992732157387,51
Keshav Memorial Institute of Technology ,30,3,1,-0.01632871564471392,51
Vaagdevi College of Engineering ,30,3,1,-0.11137167679051577,51
CMR Engineering College ,30,3,1,-0.15237060120635187,51
"Matrusri Engineering College, Hyderabad ",30,3,1,-0.09646297700293902,51
Indian Institute of Technology ,18,3,1,0.42049618813128514,92
Maulana Azad National Institute of Technology ,18,3,1,-0.1898697083470543,92
Indian Institute of Information Technology Design and ,18,3,1,0.08087600697028656,92
Atal Bihari Vajpayee Indian Institute of Information ,18,3,1,-0.15210969896006926,92
"VIT Bhopal University, Bhopal ",18,3,1,0.3060719172616335,92
"RKDF University, Bhopal ",18,3,1,-0.22691410014423566,92
Awadhesh Pratap Singh University ,18,3,1,-0.2828217243476485,92
"University Institute of Technology, Rajiv Gandhi Proudyogiki ",18,3,1,-0.3427546974937071,92
Institute of Information Technology & Management ,18,3,1,-0.14491625131256347,92
"Institute of Engineering and Technology, Devi Ahilya ",18,3,1,-0.12269856145412722,92
Acropolis Institute of Technology & Research ,18,3,1,-0.15199788371166245,92
"Indian Institute of Information Technology -[IIIT], Bhopal ",18,3,1,0.23711918074409102,92
Jaypee University of Engineering and Technology ,18,3,1,0.2743909302130329,92
Oriental University ,18,3,1,-0.18964235067529375,92
"Amity University, Gwalior ",18,3,1,0.17934796906723108,92
AKS University ,18,3,1,-0.2082782254097647,92
Jagran Lakecity University ,18,3,1,-0.003283603330584255,92
Jabalpur Engineering College ,18,3,1,-0.34879272090767566,92
"Swami Vivekanand University, Sagar ",18,3,1,-0.26791302456007177,92
"Acropolis Group of Institutions, Indore ",18,3,1,-0.15758864613200374,92
LNCT University ,18,3,1,-0.13373472647188092,92
"Avantika University, Ujjain ",18,3,1,0.3973877034605412,92
Ujjain Engineering College ,18,3,1,-0.3471117650066264,92
Shri Govindram Seksaria Institute of Technology and ,18,3,1,-0.15032065498556005,92
Lakshmi Narain College of Technology ,18,3,1,-0.2507680198043585,92
National Institute of Technology ,17,3,1,-0.23139789160534938,92
Indian Institute of Space Science and Technology ,17,3,1,0.09884099021431655,92
"College of Engineering, Trivandrum ",17,3,1,0.3135262671554219,92
"Cochin University of Science and Technology, School ",17,3,1,-0.11122258979264,92
Baselios Thomas I Catholicose College of Engineering ,17,3,1,-0.11509885173740995,92
Cochin University of Science and Technology ,17,3,1,-0.2582223696981469,92
Indian Institute of Technology ,17,3,1,-0.29828950037725943,92
APJ Abdul Kalam Technological University ,17,3,1,-0.3238206487634846,92
Federal Institute of Science and Technology ,17,3,1,-0.15199788371166245,92
"Indian Institute of Information Technology [IIIT], Kottayam ",17,3,1,0.309612733461183,92
Government Engineering College ,17,3,1,-0.3493517971497098,92
National Institute of Electronics & Information Technology ,17,3,1,-0.2082782254097647,92
TKM College of Engineering ,17,3,1,-0.400563180920036,92
Amal Jyothi College of Engineering ,17,3,1,-0.05919122753399711,92
Hindustan College of Engineering ,17,3,1,-0.2455499748787066,92
Marian Engineering College ,17,3,1,-0.07391356857422916,92
"Saintgits College of Engineering, Kottayam ",17,3,1,-0.15237060120635187,92
Rajiv Gandhi Institute of Technology ,17,3,1,-0.3499108733917439,92
Mangalam College of Engineering Ettumanoor ,17,3,1,-0.15237060120635187,92
NSS College of Engineering ,17,3,1,-0.3993369403625078,92
Sree Chitra Thirunal College of Engineering ,17,3,1,-0.198334122651451,92
"Thejus Engineering College, Thrissur ",17,3,1,-0.10242645691796971,92
Mar Athanasius College of Engineering ,17,3,1,-0.4012527082852114,92
St. Thomas College of Engineering and Technology- ,17,3,1,-0.21517349906151897,92
"College of Engineering Thalassery, Kannur ",17,3,1,-0.28934428050471334,92
"KMCT College of Engineering, Kozhikode ",17,3,1,-0.15237060120635187,92
"MEA Engineering College- [MEAEC], Malappuram ",17,3,1,-0.15237060120635187,92
Rajagiri School of Engineering & Technology ,17,3,1,-0.10764450184362158,92
Sahrdaya College of Engineering ,17,3,1,-0.30145759908211944,92
"Trinity College of Engineering, Trivendrum ",17,3,1,-0.15237060120635187,92
Birla Institute of Technology and Science ,27,3,1,1.2284545372442732,18
Indian Institute of Technology ,27,3,1,-0.16939260918881763,18
Malaviya National Institute of Technology ,27,3,1,-0.08031312795804649,18
"Singhania University, Jhunjhunu ",27,3,1,-0.2753673744538601,18
Jaipur National University ,27,3,1,-0.007010778277478445,18
Manipal University ,27,3,1,0.7570600858358305,18
JECRC University ,27,3,1,0.25761864295200904,18
SunRise University ,27,3,1,-0.1628066910576556,18
"OPJS University, Churu ",27,3,1,-0.16653386600454978,18
"Banasthali Vidyapith, Jaipur ",27,3,1,0.32657137946955156,18
"Amity University, Jaipur ",27,3,1,0.2389827682175381,18
Suresh Gyan Vihar University ,27,3,1,0.0898957703417705,18
IIS (Deemed to be University) ,27,3,1,-0.06180024999682304,18
Madhav University ,27,3,1,-0.1710064759408228,18
"Jagannath University, Jaipur ",27,3,1,-0.007010778277478445,18
Indian Institute of Information Technology ,27,3,1,0.42878915238812476,18
"Tantia University, Sriganganagar ",27,3,1,-0.3200934738165904,18
"Pacific University, Udaipur ",27,3,1,-0.13373472647188092,18
"Swami Keshvanand Institute of Technology, Management and ",27,3,1,-0.06329111997558072,18
Maharana Pratap University of Agriculture and Technology ,27,3,1,-0.10466276188610622,18
"Poornima College of Engineering, Jaipur ",27,3,1,0.2017110187485962,18
"Shridhar University, Pilani ",27,3,1,-0.06180024999682304,18
"Jaipur Engineering College and Research Centre, Jaipur ",27,3,1,-0.08900862710915063,18
Birla Institute of Technology ,27,3,1,3.880432691333162,18
Institute of Advanced Studies in Education ,27,3,1,-0.13597103144001743,18
National Institute of Technology ,12,3,1,-0.22051826793536525,14
Panjab University ,12,3,1,-0.0729817748375056,14
Punjab Engineering College University of Technology ,12,3,1,-0.07130454611140323,14
National Institute of Food Technology Entrepreneurship and ,12,3,1,0.2074881399162822,14
"University Institute of Engineering, Chandigarh University ",12,3,1,0.1644392692796543,14
"School of Engineering and Technology, NCU ",12,3,1,0.5371567639690733,14
"J.C. Bose University Of Science And Technology, ",12,3,1,-0.12022371728938948,14
Manav Rachna International Institute Of Research And ,12,3,1,0.2445735306378794,14
Manav Rachna International Institute of Research and ,12,3,1,0.2445735306378794,14
"Gurugram University, Gurgaon ",12,3,1,-0.2828217243476485,14
"PDM University, Bahadurgarh, Bahadurgarh ",12,3,1,-0.05844579254461827,14
"Amity University, Gurgaon ",12,3,1,0.42534151556224764,14
National Institute of Technical Teachers Training and ,12,3,1,-0.2653189107970334,14
"IILM University, Gurgaon ",12,3,1,0.7980590102516666,14
"University Institute of Engineering and Technology -[UIET], ",12,3,1,-0.12554612311355437,14
"Starex University, Gurgaon ",12,3,1,-0.13373472647188092,14
Indian Institute of Information Technology ,12,3,1,0.15623948439648708,14
"SRM University Delhi NCR, Sonepat ",12,3,1,0.5818828633318035,14
"Lingaya's Vidyapeeth, Faridabad ",12,3,1,0.06939630813385246,14
Modern Vidya Niketan ,12,3,1,0.07125989560729955,14
Delhi Technical Campus ,12,3,1,-0.17287006341426991,14
Chandigarh College of Engineering and Technology ,12,3,1,-0.19247500363493336,14
Manav Rachna University ,12,3,1,0.4775219648187663,14
Seth Jai Parkash Mukand Lal Institute of ,12,3,1,-0.09985470620461272,14
"Sushant University / Ansal University, Gurgaon ",12,3,1,0.466787700971711,14
"University Institute of Engineering and Technology, Maharshi ",12,3,1,-0.15502434976854051,14
St. Andrews Institute of Technology and Management ,12,3,1,-0.08900862710915063,14
Indian Institute of Technology ,11,3,1,0.531566001548732,14
Sardar Vallabhbhai National Institute of Technology ,11,3,1,0.1271675198107124,14
Dhirubhai Ambani Institute of Information and Communication ,11,3,1,0.14207621959828917,14
"Institute of Technology, Nirma University, Ahmedabad ",11,3,1,0.3030901773041182,14
"Faculty of Technology and Engineering, Maharaja Sayajirao ",11,3,1,-0.40343310562914453,14
Nirma University ,11,3,1,0.3030901773041182,14
