College_Name,State,Stream,Degree,Fee
Indian Institute of Technology Madras ,Tamil nadu,Engineering,UG,75116
"College of Engineering, Anna University ",Tamil nadu,Engineering,UG,50000
"NIT Trichy, Tiruchirappalli ",Tamil nadu,Engineering,UG,149250
Vellore Institute of Technology ,Tamil nadu,Engineering,UG,198000
"SRM Engineering College, Kanchipuram ",Tamil nadu,Engineering,UG,260000
SSN College of Engineering ,Tamil nadu,Engineering,UG,50000
"SASTRA University, Thanjavur ",Tamil nadu,Engineering,UG,167000
P.S.G College of Technology ,Tamil nadu,Engineering,UG,87000
Thiagarajar College of Engineering ,Tamil nadu,Engineering,UG,50000
Coimbatore Institute of Technology ,Tamil nadu,Engineering,UG,23670
Karunya Institute of Technology and Sciences ,Tamil nadu,Engineering,UG,213500
Kumaraguru College of Technology ,Tamil nadu,Engineering,UG,50000
"VEL Tech, Chennai ",Tamil nadu,Engineering,UG,50000
"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu,Engineering,UG,134000
Government College of Technology ,Tamil nadu,Engineering,UG,9180
Hindustan Institute of Technology and Science ,Tamil nadu,Engineering,UG,229500
Sri Krishna College of Engineering and Technology ,Tamil nadu,Engineering,UG,50000
Kongu Engineering College ,Tamil nadu,Engineering,UG,60000
Bannari Amman Institute of Technology ,Tamil nadu,Engineering,UG,60000
"Sona College of Technology, Salem ",Tamil nadu,Engineering,UG,200000
Tamil Nadu Veterinary and Animal Sciences University ,Tamil nadu,Engineering,UG,21415
"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu,Engineering,UG,60000
Saveetha Engineering College ,Tamil nadu,Engineering,UG,85000
"Sri Sairam Engineering College, Chennai ",Tamil nadu,Engineering,UG,50000
B.S. Abdur Rahman Crescent Institute of Science ,Tamil nadu,Engineering,UG,85000
Sri Ramakrishna Engineering College ,Tamil nadu,Engineering,UG,55000
Rajalakshmi Engineering College ,Tamil nadu,Engineering,UG,50000
Sri Venkateswara College of Engineering ,Tamil nadu,Engineering,UG,65000
IIT Bombay ,Maharashtra,Engineering,UG,228000
Institute of Chemical Technology ,Maharashtra,Engineering,UG,85350
Visvesvaraya National Institute of Technology ,Maharashtra,Engineering,UG,149200
College of Engineering ,Maharashtra,Engineering,UG,40500
Defence Institute of Advanced Technology ,Maharashtra,Engineering,UG,153600
National Institute of Industrial Engineering ,Maharashtra,Engineering,UG,598000
Army Institute of Technology ,Maharashtra,Engineering,UG,180197
Bharati Vidyapeeth Deemed University ,Maharashtra,Engineering,UG,120000
Veermata Jijabai Technological Institute ,Maharashtra,Engineering,UG,84051
GH Raisoni College of Engineering ,Maharashtra,Engineering,UG,560000
Mukesh Patel School of Technology Management and ,Maharashtra,Engineering,UG,452000
Sardar Patel Institute of Technology ,Maharashtra,Engineering,UG,170000
Shri Ramdeobaba College of Engineering and Management ,Maharashtra,Engineering,UG,145000
Rashtrasant Tukadoji Maharaj Nagpur University ,Maharashtra,Engineering,UG,33600
Yeshwantrao Chavan College of Engineering ,Maharashtra,Engineering,UG,151801
Walchand College of Engineering ,Maharashtra,Engineering,UG,84935
MIT World Peace University ,Maharashtra,Engineering,UG,310000
Vishwakarma Institute of Information Technology ,Maharashtra,Engineering,UG,164000
Ramrao Adik Institute of Technology ,Maharashtra,Engineering,UG,325000
Sardar Patel College of Engineering ,Maharashtra,Engineering,UG,170000
K. J. Somaiya College of Engineering ,Maharashtra,Engineering,UG,286000
Pimpri Chinchwad College of Engineering ,Maharashtra,Engineering,UG,138559
"MKSSS's Cummins College of Engineering for Women, ",Maharashtra,Engineering,UG,180836
Dwarkadas J Sanghvi College of Engineering ,Maharashtra,Engineering,UG,194000
Thakur College of Engineering and Technology ,Maharashtra,Engineering,UG,147500
SVKM's Narsee Monjee Institute of Management Studies ,Maharashtra,Engineering,UG,302000
"Amity University, Mumbai ",Maharashtra,Engineering,UG,222000
"Vishwakarma Institute of Technology, Pune ",Maharashtra,Engineering,UG,179895
Indian Institute of Information Technology ,Maharashtra,Engineering,UG,234500
Indian Institute of Technology ,Uttar pradesh,Engineering,UG,215600
Indian Institute of Technology ,Uttar pradesh,Engineering,UG,84981
"Amity University, Noida ",Uttar pradesh,Engineering,UG,311000
Aligarh Muslim University ,Uttar pradesh,Engineering,UG,269445
MNNIT Allahabad ,Uttar pradesh,Engineering,UG,84666
Jaypee Institute of Information Technology University ,Uttar pradesh,Engineering,UG,236500
Indian Institute of Information Technology ,Uttar pradesh,Engineering,UG,104000
"Dayalbagh Educational Institute Faculty of Engineering, Agra ",Uttar pradesh,Engineering,UG,51300
Sharda University ,Uttar pradesh,Engineering,UG,163770
Galgotias University ,Uttar pradesh,Engineering,UG,159000
"Bennett University, Greater Noida ",Uttar pradesh,Engineering,UG,350000
Shiv Nadar University ,Uttar pradesh,Engineering,UG,200000
"Integral University, Lucknow ",Uttar pradesh,Engineering,UG,140000
J.S. University ,Uttar pradesh,Engineering,UG,47500
"GLA University, Mathura ",Uttar pradesh,Engineering,UG,178000
Institute of Engineering and Technology ,Uttar pradesh,Engineering,UG,89775
Sanskriti University ,Uttar pradesh,Engineering,UG,115000
"Monad University, Hapur ",Uttar pradesh,Engineering,UG,151000
Indian Institute of Information Technology ,Uttar pradesh,Engineering,UG,218700
"IFTM University, Moradabad ",Uttar pradesh,Engineering,UG,107000
"Shobhit University, Meerut ",Uttar pradesh,Engineering,UG,111200
"Glocal University, Saharanpur ",Uttar pradesh,Engineering,UG,144000
"Rama University, Kanpur ",Uttar pradesh,Engineering,UG,90000
Noida Institute of Engineering and Technology ,Uttar pradesh,Engineering,UG,614000
"ABES Engineering College, Ghaziabad ",Uttar pradesh,Engineering,UG,143700
Bundelkhand Institute of Engineering & Technology ,Uttar pradesh,Engineering,UG,61800
Harcourt Butler Technological University ,Uttar pradesh,Engineering,UG,135000
Rajiv Gandhi Institute of Petroleum Technology ,Uttar pradesh,Engineering,UG,221100
Indian Institute of Technology ,Delhi ncr,Engineering,UG,220300
"Jamia Millia Islamia University-[JMI], New Delhi ",Delhi ncr,Engineering,UG,16150
Delhi Technological University ,Delhi ncr,Engineering,UG,190000
"Amity University, Noida ",Delhi ncr,Engineering,UG,311000
Indraprastha Institute of Information Technology ,Delhi ncr,Engineering,UG,360000
Guru Gobind Singh Indraprastha University ,Delhi ncr,Engineering,UG,117200
Jaypee Institute of Information Technology University ,Delhi ncr,Engineering,UG,236500
National Institute of Food Technology Entrepreneurship and ,Delhi ncr,Engineering,UG,171550
"School of Engineering and Technology, NCU ",Delhi ncr,Engineering,UG,260000
"J.C. Bose University Of Science And Technology, ",Delhi ncr,Engineering,UG,83625
Indira Gandhi Delhi Technical University For Women ,Delhi ncr,Engineering,UG,88000
Manav Rachna International Institute Of Research And ,Delhi ncr,Engineering,UG,181500
Sharda University ,Delhi ncr,Engineering,UG,163770
Galgotias University ,Delhi ncr,Engineering,UG,159000
Netaji Subhas University of Technology ,Delhi ncr,Engineering,UG,190000
Shiv Nadar University ,Delhi ncr,Engineering,UG,200000
Manav Rachna International Institute of Research and ,Delhi ncr,Engineering,UG,181500
National Institute of Technology ,Delhi ncr,Engineering,UG,96866
"Gurugram University, Gurgaon ",Delhi ncr,Engineering,UG,40000
Chhotu Ram Rural Institute Of Technology ,Delhi ncr,Engineering,UG,33450
SunRise University ,Delhi ncr,Engineering,UG,72200
"Monad University, Hapur ",Delhi ncr,Engineering,UG,151000
"Amity University, Gurgaon ",Delhi ncr,Engineering,UG,230000
"Shobhit University, Meerut ",Delhi ncr,Engineering,UG,111200
Indraprastha Institute of Technology and Management ,Delhi ncr,Engineering,UG,125000
Maharaja Agrasen Institute of Technology ,Delhi ncr,Engineering,UG,143200
Maharaja Surajmal Institute of Technology ,Delhi ncr,Engineering,UG,135300
Noida Institute of Engineering and Technology ,Delhi ncr,Engineering,UG,614000
K L University ,Andhra pradesh,Engineering,UG,250000
"Andhra University, College of Engineering ",Andhra pradesh,Engineering,UG,10000
"Sri Venkateswara University College of Engineering, Tirupati ",Andhra pradesh,Engineering,UG,16395
"Vignan’s Foundation for Science, Technology, and Research, ",Andhra pradesh,Engineering,UG,250000
"JNTUK University College of Engineering, Kakinada, East ",Andhra pradesh,Engineering,UG,10000
Sree Vidyanikethan Engineering College ,Andhra pradesh,Engineering,UG,280000
G. Pulla Reddy Engineering College ,Andhra pradesh,Engineering,UG,80000
Sri Venkateswara College of Engineering and Technology ,Andhra pradesh,Engineering,UG,89350
Velagapudi Ramakrishna Siddhartha Engineering College ,Andhra pradesh,Engineering,UG,71050
Shri Vishnu Engineering College for Women ,Andhra pradesh,Engineering,UG,95000
"JNTUA College of Engineering, Ananthapur ",Andhra pradesh,Engineering,UG,25000
Sagi Ramakrishnam Raju Engineering College ,Andhra pradesh,Engineering,UG,30000
Gayatri Vidya Parishad College of Engineering ,Andhra pradesh,Engineering,UG,276000
Jawaharlal Nehru Technological University ,Andhra pradesh,Engineering,UG,100000
Indian Institute of Technology ,Andhra pradesh,Engineering,UG,16950
Prasad V. Potluri Siddhartha Institute of Technology ,Andhra pradesh,Engineering,UG,280000
Centurion University of Technology and Management ,Andhra pradesh,Engineering,UG,125000
Aditya Engineering College ,Andhra pradesh,Engineering,UG,72000
Bapatla Engineering College ,Andhra pradesh,Engineering,UG,75000
Gudlavalleru Engineering College ,Andhra pradesh,Engineering,UG,81600
Sri Venkateswara College of Engineering ,Andhra pradesh,Engineering,UG,80000
Sri Vasavi Engineering College ,Andhra pradesh,Engineering,UG,189000
Indian Institute of Information Technology Sri City ,Andhra pradesh,Engineering,UG,103000
National Institute of Technology ,Andhra pradesh,Engineering,UG,187500
"Rajiv Gandhi University of Knowledge Technologies -[RGUKT], ",Andhra pradesh,Engineering,UG,39000
Raghu Engineering College ,Andhra pradesh,Engineering,UG,85000
Indian Institute of Information Technology Design and ,Andhra pradesh,Engineering,UG,144600
Rajeev Gandhi Memorial College of Engineering and ,Andhra pradesh,Engineering,UG,69100
VIT University ,Andhra pradesh,Engineering,UG,198000
National Institute of Technology ,Karnataka,Engineering,UG,152730
Manipal Institute of Technology ,Karnataka,Engineering,UG,335000
R V College of Engineering ,Karnataka,Engineering,UG,350000
Ramaiah Institute of Technology ,Karnataka,Engineering,UG,86226
International Institute of Information Technology ,Karnataka,Engineering,UG,164000
BMS College of Engineering ,Karnataka,Engineering,UG,229110
Siddaganga Institute of Technology ,Karnataka,Engineering,UG,79475
New Horizon College of Engineering ,Karnataka,Engineering,UG,250000
"Faculty of Engineering and Technology, Jain University ",Karnataka,Engineering,UG,197500
Sri Jayachamarajendra College of Engineering ,Karnataka,Engineering,UG,475000
Dayananda Sagar College of Engineering ,Karnataka,Engineering,UG,96106
NMAM Institute of Technology ,Karnataka,Engineering,UG,163000
Nitte Meenakshi Institute of Technology ,Karnataka,Engineering,UG,58806
PES University ,Karnataka,Engineering,UG,340000
BMS Institute of Technology and Management ,Karnataka,Engineering,UG,350000
"KLE Technological University, Hubli ",Karnataka,Engineering,UG,15000
Dr. Ambedkar Institute of Technology ,Karnataka,Engineering,UG,30200
PES College of Engineering ,Karnataka,Engineering,UG,76800
CMR Institute of Technology ,Karnataka,Engineering,UG,250000
The National Institute of Engineering ,Karnataka,Engineering,UG,44090
"Alliance College of Engineering and Design, Bangalore ",Karnataka,Engineering,UG,225000
Basaveshwar Engineering College ,Karnataka,Engineering,UG,65340
"Christ University, Bangalore ",Karnataka,Engineering,UG,170000
Manipal Academy of Higher Education ,Karnataka,Engineering,UG,335000
Indian Institute of Science ,Karnataka,Engineering,UG,29200
"REVA University, Bangalore ",Karnataka,Engineering,UG,225000
"Alliance University, Bangalore ",Karnataka,Engineering,UG,625000
"Presidency University, Bangalore ",Karnataka,Engineering,UG,210000
Indian Institute of Technology ,Telangana,Engineering,UG,222995
National Institute of Technology ,Telangana,Engineering,UG,130000
International Institute of Information Technology ,Telangana,Engineering,UG,300000
Jawaharlal Nehru Technological University ,Telangana,Engineering,UG,12500
"University College of Engineering, Osmania University ",Telangana,Engineering,UG,27770
Chaitanya Bharathi Institute of Technology ,Telangana,Engineering,UG,134000
Vallurupalli Nageswara Rao Vignana Jyothi Institute of ,Telangana,Engineering,UG,131000
"CVR College of Engineering, Ibrahimpatnam, Rangareddi ",Telangana,Engineering,UG,121650
Institute of Aeronautical Engineering ,Telangana,Engineering,UG,90000
BV Raju Institute of Technology ,Telangana,Engineering,UG,120000
Vardhaman College of Engineering ,Telangana,Engineering,UG,125000
"Anurag University, Hyderabad ",Telangana,Engineering,UG,135500
Vasavi College of Engineering ,Telangana,Engineering,UG,130000
Gokaraju Rangaraju Institute of Engineering and Technology ,Telangana,Engineering,UG,122000
Kakatiya Institute of Technology & Science ,Telangana,Engineering,UG,125960
K L University ,Telangana,Engineering,UG,265000
Birla Institute of Technology and Science ,Telangana,Engineering,UG,423475
Mahatma Gandhi Institute of Technology ,Telangana,Engineering,UG,108000
Malla Reddy Engineering College ,Telangana,Engineering,UG,103000
Malla Reddy College of Engineering ,Telangana,Engineering,UG,72000
Sreenidhi Institute of Science and Technology ,Telangana,Engineering,UG,520000
"Mahindra University, Hyderabad ",Telangana,Engineering,UG,470000
"St Martin's Engineering College, Secunderabad ",Telangana,Engineering,UG,80000
MLR Institute of Technology ,Telangana,Engineering,UG,96000
Keshav Memorial Institute of Technology ,Telangana,Engineering,UG,111500
Vaagdevi College of Engineering ,Telangana,Engineering,UG,86000
CMR Engineering College ,Telangana,Engineering,UG,75000
"Matrusri Engineering College, Hyderabad ",Telangana,Engineering,UG,90000
Indian Institute of Technology ,Madhya pradesh,Engineering,UG,228700
Maulana Azad National Institute of Technology ,Madhya pradesh,Engineering,UG,64939
Indian Institute of Information Technology Design and ,Madhya pradesh,Engineering,UG,137580
Atal Bihari Vajpayee Indian Institute of Information ,Madhya pradesh,Engineering,UG,75070
"VIT Bhopal University, Bhopal ",Madhya pradesh,Engineering,UG,198000
"RKDF University, Bhopal ",Madhya pradesh,Engineering,UG,55000
Awadhesh Pratap Singh University ,Madhya pradesh,Engineering,UG,40000
"University Institute of Technology, Rajiv Gandhi Proudyogiki ",Madhya pradesh,Engineering,UG,23920
Institute of Information Technology & Management ,Madhya pradesh,Engineering,UG,77000
"Institute of Engineering and Technology, Devi Ahilya ",Madhya pradesh,Engineering,UG,82961
Acropolis Institute of Technology & Research ,Madhya pradesh,Engineering,UG,75100
"Indian Institute of Information Technology -[IIIT], Bhopal ",Madhya pradesh,Engineering,UG,179500
Jaypee University of Engineering and Technology ,Madhya pradesh,Engineering,UG,189500
Oriental University ,Madhya pradesh,Engineering,UG,65000
"Amity University, Gwalior ",Madhya pradesh,Engineering,UG,164000
AKS University ,Madhya pradesh,Engineering,UG,60000
Jagran Lakecity University ,Madhya pradesh,Engineering,UG,115000
Jabalpur Engineering College ,Madhya pradesh,Engineering,UG,22300
"Swami Vivekanand University, Sagar ",Madhya pradesh,Engineering,UG,44000
"Acropolis Group of Institutions, Indore ",Madhya pradesh,Engineering,UG,73600
LNCT University ,Madhya pradesh,Engineering,UG,80000
"Avantika University, Ujjain ",Madhya pradesh,Engineering,UG,222500
Ujjain Engineering College ,Madhya pradesh,Engineering,UG,22751
Shri Govindram Seksaria Institute of Technology and ,Madhya pradesh,Engineering,UG,75550
Lakshmi Narain College of Technology ,Madhya pradesh,Engineering,UG,48600
National Institute of Technology ,Kerala,Engineering,UG,53797
Indian Institute of Space Science and Technology ,Kerala,Engineering,UG,142400
"College of Engineering, Trivandrum ",Kerala,Engineering,UG,200000
"Cochin University of Science and Technology, School ",Kerala,Engineering,UG,86040
Baselios Thomas I Catholicose College of Engineering ,Kerala,Engineering,UG,85000
Cochin University of Science and Technology ,Kerala,Engineering,UG,46600
Indian Institute of Technology ,Kerala,Engineering,UG,35850
APJ Abdul Kalam Technological University ,Kerala,Engineering,UG,29000
Federal Institute of Science and Technology ,Kerala,Engineering,UG,75100
"Indian Institute of Information Technology [IIIT], Kottayam ",Kerala,Engineering,UG,198950
Government Engineering College ,Kerala,Engineering,UG,22150
National Institute of Electronics & Information Technology ,Kerala,Engineering,UG,60000
TKM College of Engineering ,Kerala,Engineering,UG,8410
Amal Jyothi College of Engineering ,Kerala,Engineering,UG,100000
Hindustan College of Engineering ,Kerala,Engineering,UG,50000
Marian Engineering College ,Kerala,Engineering,UG,96050
"Saintgits College of Engineering, Kottayam ",Kerala,Engineering,UG,75000
Rajiv Gandhi Institute of Technology ,Kerala,Engineering,UG,22000
Mangalam College of Engineering Ettumanoor ,Kerala,Engineering,UG,75000
NSS College of Engineering ,Kerala,Engineering,UG,8739
Sree Chitra Thirunal College of Engineering ,Kerala,Engineering,UG,62668
"Thejus Engineering College, Thrissur ",Kerala,Engineering,UG,88400
Mar Athanasius College of Engineering ,Kerala,Engineering,UG,8225
St. Thomas College of Engineering and Technology- ,Kerala,Engineering,UG,58150
"College of Engineering Thalassery, Kannur ",Kerala,Engineering,UG,38250
"KMCT College of Engineering, Kozhikode ",Kerala,Engineering,UG,75000
"MEA Engineering College- [MEAEC], Malappuram ",Kerala,Engineering,UG,75000
Rajagiri School of Engineering & Technology ,Kerala,Engineering,UG,87000
Sahrdaya College of Engineering ,Kerala,Engineering,UG,35000
"Trinity College of Engineering, Trivendrum ",Kerala,Engineering,UG,75000
Birla Institute of Technology and Science ,Rajasthan,Engineering,UG,445475
Indian Institute of Technology ,Rajasthan,Engineering,UG,70433
Malaviya National Institute of Technology ,Rajasthan,Engineering,UG,94333
"Singhania University, Jhunjhunu ",Rajasthan,Engineering,UG,42000
Jaipur National University ,Rajasthan,Engineering,UG,114000
Manipal University ,Rajasthan,Engineering,UG,319000
JECRC University ,Rajasthan,Engineering,UG,185000
SunRise University ,Rajasthan,Engineering,UG,72200
"OPJS University, Churu ",Rajasthan,Engineering,UG,71200
"Banasthali Vidyapith, Jaipur ",Rajasthan,Engineering,UG,203500
"Amity University, Jaipur ",Rajasthan,Engineering,UG,180000
Suresh Gyan Vihar University ,Rajasthan,Engineering,UG,140000
IIS (Deemed to be University) ,Rajasthan,Engineering,UG,99300
Madhav University ,Rajasthan,Engineering,UG,70000
"Jagannath University, Jaipur ",Rajasthan,Engineering,UG,114000
Indian Institute of Information Technology ,Rajasthan,Engineering,UG,230925
"Tantia University, Sriganganagar ",Rajasthan,Engineering,UG,30000
"Pacific University, Udaipur ",Rajasthan,Engineering,UG,80000
"Swami Keshvanand Institute of Technology, Management and ",Rajasthan,Engineering,UG,98900
Maharana Pratap University of Agriculture and Technology ,Rajasthan,Engineering,UG,87800
"Poornima College of Engineering, Jaipur ",Rajasthan,Engineering,UG,170000
"Shridhar University, Pilani ",Rajasthan,Engineering,UG,99300
"Jaipur Engineering College and Research Centre, Jaipur ",Rajasthan,Engineering,UG,92000
Birla Institute of Technology ,Rajasthan,Engineering,UG,1157000
Institute of Advanced Studies in Education ,Rajasthan,Engineering,UG,79400
National Institute of Technology ,Haryana,Engineering,UG,56716
Panjab University ,Haryana,Engineering,UG,96300
Punjab Engineering College University of Technology ,Haryana,Engineering,UG,96750
National Institute of Food Technology Entrepreneurship and ,Haryana,Engineering,UG,171550
"University Institute of Engineering, Chandigarh University ",Haryana,Engineering,UG,160000
"School of Engineering and Technology, NCU ",Haryana,Engineering,UG,260000
"J.C. Bose University Of Science And Technology, ",Haryana,Engineering,UG,83625
Manav Rachna International Institute Of Research And ,Haryana,Engineering,UG,181500
Manav Rachna International Institute of Research and ,Haryana,Engineering,UG,181500
"Gurugram University, Gurgaon ",Haryana,Engineering,UG,40000
"PDM University, Bahadurgarh, Bahadurgarh ",Haryana,Engineering,UG,100200
"Amity University, Gurgaon ",Haryana,Engineering,UG,230000
National Institute of Technical Teachers Training and ,Haryana,Engineering,UG,44696
"IILM University, Gurgaon ",Haryana,Engineering,UG,330000
"University Institute of Engineering and Technology -[UIET], ",Haryana,Engineering,UG,82197
"Starex University, Gurgaon ",Haryana,Engineering,UG,80000
Indian Institute of Information Technology ,Haryana,Engineering,UG,157800
"SRM University Delhi NCR, Sonepat ",Haryana,Engineering,UG,272000
"Lingaya's Vidyapeeth, Faridabad ",Haryana,Engineering,UG,134500
Modern Vidya Niketan ,Haryana,Engineering,UG,135000
Delhi Technical Campus ,Haryana,Engineering,UG,69500
Chandigarh College of Engineering and Technology ,Haryana,Engineering,UG,64240
Manav Rachna University ,Haryana,Engineering,UG,244000
Seth Jai Parkash Mukand Lal Institute of ,Haryana,Engineering,UG,89090
"Sushant University / Ansal University, Gurgaon ",Haryana,Engineering,UG,241120
"University Institute of Engineering and Technology, Maharshi ",Haryana,Engineering,UG,74288
St. Andrews Institute of Technology and Management ,Haryana,Engineering,UG,92000
Indian Institute of Technology ,Gujarat,Engineering,UG,258500
Sardar Vallabhbhai National Institute of Technology ,Gujarat,Engineering,UG,150000
Dhirubhai Ambani Institute of Information and Communication ,Gujarat,Engineering,UG,154000
"Institute of Technology, Nirma University, Ahmedabad ",Gujarat,Engineering,UG,197200
"Faculty of Technology and Engineering, Maharaja Sayajirao ",Gujarat,Engineering,UG,7640
Nirma University ,Gujarat,Engineering,UG,197200
Pandit Deendayal Petroleum University [PDPU] / (Energy ,Gujarat,Engineering,UG,253000
"Pandit Deendayal Petroleum University, School of Technology ",Gujarat,Engineering,UG,253000
Central Institute of plastics engineering & Technology- ,Gujarat,Engineering,UG,65000
"CEPT University, Ahmedabad ",Gujarat,Engineering,UG,198000
Ganpat University ,Gujarat,Engineering,UG,108000
"Indus University, Ahmedabad ",Gujarat,Engineering,UG,96000
Navrachana University ,Gujarat,Engineering,UG,114000
Indian Institute of Information Technology Vadodara ,Gujarat,Engineering,UG,179720
"Uka Tarsadia University, Bardoli ",Gujarat,Engineering,UG,94000
"GSFC University, Vadodara ",Gujarat,Engineering,UG,121250
"Auro University, Surat ",Gujarat,Engineering,UG,121000
L.D. College of Engineering ,Gujarat,Engineering,UG,2860
RK University ,Gujarat,Engineering,UG,76500
Institute of Infrastructure Technology Research and Management ,Gujarat,Engineering,UG,29100
Indian Institute of Information Technology ,Gujarat,Engineering,UG,147000
"C. U. Shah University, Wadhwan ",Gujarat,Engineering,UG,77800
"P.P. Savani University, Surat ",Gujarat,Engineering,UG,111500
Vishwakarma Government Engineering College ,Gujarat,Engineering,UG,1500
Dharmsinh Desai University ,Gujarat,Engineering,UG,152000
Thapar Institute of Engineering and Technology ,Punjab,Engineering,UG,324800
Indian Institute of Technology ,Punjab,Engineering,UG,219800
Panjab University ,Punjab,Engineering,UG,96300
Punjab Engineering College University of Technology ,Punjab,Engineering,UG,96750
I.K. Gujral Punjab Technical University ,Punjab,Engineering,UG,88750
Dr BR Ambedkar National Institute of Technology ,Punjab,Engineering,UG,676000
"University Institute of Engineering, Chandigarh University ",Punjab,Engineering,UG,160000
Sant Longowal Institute of Engineering and Technology ,Punjab,Engineering,UG,81000
Chitkara University ,Punjab,Engineering,UG,666000
Chandigarh Group of Colleges ,Punjab,Engineering,UG,94000
"RIMT University, Gobindgarh ",Punjab,Engineering,UG,135000
National Institute of Technical Teachers Training and ,Punjab,Engineering,UG,44696
"Guru Kashi University, Bathinda ",Punjab,Engineering,UG,92680
"University Institute of Engineering and Technology -[UIET], ",Punjab,Engineering,UG,82197
"Rayat Bahra University, Mohali ",Punjab,Engineering,UG,100000
"DAV University, Jalandhar ",Punjab,Engineering,UG,136000
"Plaksha, Mohali ",Punjab,Engineering,UG,690000
Chandigarh Engineering College ,Punjab,Engineering,UG,94000
Sant Baba Bhag Singh University ,Punjab,Engineering,UG,82500
Chandigarh College of Engineering and Technology ,Punjab,Engineering,UG,64240
"Global Institute, Amritsar ",Punjab,Engineering,UG,318000
"Maharaja Ranjit Singh Punjab Technical University, Bathinda ",Punjab,Engineering,UG,170600
Amritsar College of Engineering and Technology ,Punjab,Engineering,UG,403024
Guru Nanak Dev Engineering College ,Punjab,Engineering,UG,98689
Sri Guru Granth Sahib World University ,Punjab,Engineering,UG,104000
Baba Banda Singh Bahadur Engineering College ,Punjab,Engineering,UG,90000
Indian Institute of Technology ,West bengal,Engineering,UG,82070
Jadavpur University ,West bengal,Engineering,UG,2400
Indian Institute of Engineering Science and Technology ,West bengal,Engineering,UG,70000
National Institute of Technology ,West bengal,Engineering,UG,149100
Institute of Engineering and Management ,West bengal,Engineering,UG,168400
Heritage Institute of Technology ,West bengal,Engineering,UG,116200
Maulana Abul Kalam Azad University of Technology ,West bengal,Engineering,UG,49000
Narula Institute of Technology ,West bengal,Engineering,UG,129800
Haldia Institute of Technology ,West bengal,Engineering,UG,116350
"Amity University, Kolkata ",West bengal,Engineering,UG,207000
"Techno India University, Kolkata ",West bengal,Engineering,UG,89200
"Adamas University, Kolkata ",West bengal,Engineering,UG,172800
Sister Nivedita University ,West bengal,Engineering,UG,149500
Asansol Engineering College ,West bengal,Engineering,UG,134068
University of Engineering and Management ,West bengal,Engineering,UG,161200
JIS College of Engineering ,West bengal,Engineering,UG,129800
Kalyani Government Engineering College ,West bengal,Engineering,UG,16155
Indian Institute of Information Technology ,West bengal,Engineering,UG,17120
The Neotia University ,West bengal,Engineering,UG,144000
Siliguri Institute of Technology ,West bengal,Engineering,UG,393000
"University Institute of Technology, University Of Burdwan ",West bengal,Engineering,UG,71200
Jalpaiguri Government Engineering College ,West bengal,Engineering,UG,14877
"Techno India Salt Lake, Kolkata ",West bengal,Engineering,UG,483800
Bengal College of Engineering and Technology ,West bengal,Engineering,UG,103600
Dr. B.C. Roy Engineering College ,West bengal,Engineering,UG,108980
Bengal College of Engineering ,West bengal,Engineering,UG,98500
Seacom Skills University ,West bengal,Engineering,UG,82000
National Institute of Technology ,Orissa,Engineering,UG,225500
Indian Institute of Technology ,Orissa,Engineering,UG,228676
Institute of Technical Education and Research ,Orissa,Engineering,UG,250000
"C. V. Raman Global University, Bhubaneswar ",Orissa,Engineering,UG,119000
Veer Surendra Sai University of Technology ,Orissa,Engineering,UG,91280
Centurion University of Technology and Management ,Orissa,Engineering,UG,100000
International Institute of Information Technology ,Orissa,Engineering,UG,201100
"Indira Gandhi Institute of Technology- [IGIT], Dhenkanal ",Orissa,Engineering,UG,34500
Silicon Institute of Technology ,Orissa,Engineering,UG,600000
Silicon Institute of Technology ,Orissa,Engineering,UG,380000
Xavier University ,Orissa,Engineering,UG,308000
Bhubaneswar Engineering College ,Orissa,Engineering,UG,252000
College of Engineering ,Orissa,Engineering,UG,292000
National Institute of Science and Technology ,Orissa,Engineering,UG,121500
College of Engineering and Technology ,Orissa,Engineering,UG,235000
Gandhi Institute for Technology ,Orissa,Engineering,UG,81000
Orissa Engineering College ,Orissa,Engineering,UG,86500
Parala Maharaja Engineering College ,Orissa,Engineering,UG,33400
GITA Autonomous College ,Orissa,Engineering,UG,108000
"Seemanta Engineering College, Mayurbhanj ",Orissa,Engineering,UG,220000
"Trident Academy of Technology, Bhubaneswar ",Orissa,Engineering,UG,108300
"Government College of Engineering, Kendujhar ",Orissa,Engineering,UG,140000
CIPET: Centre for Skilling and Technical Support ,Orissa,Engineering,UG,32680
"Vignan Institute of Technology And Management, Berhampur ",Orissa,Engineering,UG,58000
Krupajal Engineering College ,Orissa,Engineering,UG,72000
Indian Institute of Technology ,Uttarakhand,Engineering,UG,221700
"Graphic Era University, School of Engineering and ",Uttarakhand,Engineering,UG,236400
"College of Technology, GB Pant University of ",Uttarakhand,Engineering,UG,65344
University of Petroleum and Energy Studies ,Uttarakhand,Engineering,UG,1604500
"Doon University, Dehradun ",Uttarakhand,Engineering,UG,34750
DIT University ,Uttarakhand,Engineering,UG,200000
Graphic Era University ,Uttarakhand,Engineering,UG,323400
Graphic Era Hill University ,Uttarakhand,Engineering,UG,275600
"ICFAI University, Dehradun ",Uttarakhand,Engineering,UG,156000
"MotherHood University, Roorkee ",Uttarakhand,Engineering,UG,71650
